method,metric,mean,standard_deviation,evaluation_split,aggregation_definition,folds,seeds,source_commit
TSception,BoundedLag_NCC,0.1242309841638836,0.001062377084626,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
TSception,Unbiased_Distance_Correlation,0.0767479607118911,0.0015830509174754,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
TSception,FisherZ_PCC,0.0049069113917489,0.0016532698129812,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
EEG Deformer,MinMaxNormalized_CCC,0.0027783358398531,0.0013690214308804,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
EEG Deformer,LagSRCC,0.0019108912845454,0.0025659263916722,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
EEG Deformer,LagPCC,0.0026098823797689,0.0024170194036423,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
EEG Deformer,BoundedLag_NCC,0.1253752728245915,0.0026867140196872,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
EEG Deformer,Unbiased_Distance_Correlation,0.0755849854840344,0.0041533582285219,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
EEG Deformer,FisherZ_PCC,0.0063010879832701,0.0020250834866546,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
CBraMod scratch,MinMaxNormalized_CCC,0.0009459059004122,0.0005359830596947,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
CBraMod scratch,LagSRCC,0.0004123720622084,0.0024664565254523,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
CBraMod scratch,LagPCC,0.0002325537170806,0.0019110387121612,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
CBraMod scratch,BoundedLag_NCC,0.1236366390691289,0.0011882454162861,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
CBraMod scratch,Unbiased_Distance_Correlation,0.0734053952952615,0.0021471317683797,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
CBraMod scratch,FisherZ_PCC,0.003053020556235,0.0009240958441446,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
HeLo task adapted,MinMaxNormalized_CCC,0.000631235802015,0.0026033407026994,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
HeLo task adapted,LagSRCC,0.0017667712312521,0.0026333249506419,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
HeLo task adapted,LagPCC,0.001574786677781,0.0029928057158566,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
HeLo task adapted,BoundedLag_NCC,0.1228189247996921,0.0023448375026042,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
HeLo task adapted,Unbiased_Distance_Correlation,0.0663750361319023,0.0029990295315637,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
HeLo task adapted,FisherZ_PCC,0.0001085322962366,0.0048186523562742,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
w/o Causal Context Encoder,MinMaxNormalized_CCC,0.0070995375020798,0.0013307669069474,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,89cb5b7982f2f1ff02d100cfbdda0c1fb8472cf9
w/o Causal Context Encoder,LagSRCC,0.0080746147172269,0.0019419004032425,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,89cb5b7982f2f1ff02d100cfbdda0c1fb8472cf9
