comparison,reference,comparator,metric,positive_means,cluster,paired_benefit,ci_low,ci_high,positive_benefit_probability,n_clusters,n_windows,bootstrap_samples,evaluation_split,source_commit,comparator_source_commit
TIDE vs EMOD pretrained finetune,TIDE,EMOD pretrained finetune,DTW,TIDE_better,dyad_group,0.8903785113829331,0.6850069511078178,1.1012468001655775,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EMOD pretrained finetune,TIDE,EMOD pretrained finetune,ZMAE,TIDE_better,dyad_group,0.0860041672960234,0.0778201225219764,0.0937632837300239,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EMOD pretrained finetune,TIDE,EMOD pretrained finetune,ZRMSE,TIDE_better,dyad_group,0.1665777154831232,0.1565197371733779,0.1765504371618159,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EMOD pretrained finetune,TIDE,EMOD pretrained finetune,ZLinf,TIDE_better,dyad_group,0.5794780060262607,0.5521631900056451,0.6066337826409012,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EMOD pretrained finetune,TIDE,EMOD pretrained finetune,DeltaCorr_v1,TIDE_better,dyad_group,0.0002691133481491,-0.0036212232779838,0.0043075429979673,0.558,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EMOD pretrained finetune,TIDE,EMOD pretrained finetune,ChangeMagnitudeCorr,TIDE_better,dyad_group,-0.0030892871965638,-0.0074975391651201,0.0012396761503776,0.0828,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EMOD pretrained finetune,TIDE,EMOD pretrained finetune,LogRatioChangeCorr,TIDE_better,dyad_group,0.0022888995396578,-0.0017193117516737,0.0065445355081719,0.8682,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EMOD pretrained finetune,TIDE,EMOD pretrained finetune,Directional_Accuracy,TIDE_better,dyad_group,0.0269188810040713,0.0204169891493068,0.0334892973250261,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EMOD pretrained finetune,TIDE,EMOD pretrained finetune,Balanced_Nonflat_Directional_Accuracy,TIDE_better,dyad_group,0.0246437205958199,0.0177321802856119,0.0314833033261734,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EMOD pretrained finetune,TIDE,EMOD pretrained finetune,TrainFold_Majority_Direction_Accuracy,TIDE_better,dyad_group,0.0,0.0,0.0,0.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EMOD pretrained finetune,TIDE,EMOD pretrained finetune,TrainFold_Majority_Balanced_Direction_Accuracy,TIDE_better,dyad_group,0.0,0.0,0.0,0.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EMOD pretrained finetune,TIDE,EMOD pretrained finetune,Flat_Transition_Predicted_Change,TIDE_better,dyad_group,0.7610993563059684,0.7467777171753821,0.7756075431456204,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EMOD pretrained finetune,TIDE,EMOD pretrained finetune,Chebyshev,TIDE_better,dyad_group,-0.0004768023003121,-0.0010835561172375,7.850045896653708e-05,0.0532,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EMOD pretrained finetune,TIDE,EMOD pretrained finetune,Clark,TIDE_better,dyad_group,0.0102870178974723,0.008424387399718,0.0121708311131357,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
