method,variant,metric,mean,standard_deviation,fold,seed,n_subject_trials,evaluation_split,aggregation_definition,source_commit
EMOD scratch,full,StaticAware_PCC,-0.0036199155430315,,4,17,201,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,TimeAugmented_Discrete_Frechet,2.4884497955700406,,4,17,201,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,ZMAE,1.0165818934006137,,4,17,201,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,KL,0.2519084455881594,,4,17,201,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,StaticAware_SRCC,0.003671799190464,,0,42,228,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,StaticAware_PCC,0.0049250025038221,,0,42,228,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,TimeAugmented_Discrete_Frechet,2.3738892396972746,,0,42,228,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,ZMAE,1.0432328900727823,,0,42,228,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,KL,0.2387750980522182,,0,42,228,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,StaticAware_SRCC,0.0205934095621946,,1,42,227,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,StaticAware_PCC,0.0191354018562766,,1,42,227,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,TimeAugmented_Discrete_Frechet,2.376905991476674,,1,42,227,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,ZMAE,1.0141801291186303,,1,42,227,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,KL,0.2234448548209238,,1,42,227,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,StaticAware_SRCC,0.0083081289432988,,2,42,215,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,StaticAware_PCC,0.0047795252443704,,2,42,215,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,TimeAugmented_Discrete_Frechet,2.395108306165952,,2,42,215,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,ZMAE,1.0509888231321294,,2,42,215,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,KL,0.2240168993188641,,2,42,215,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,StaticAware_SRCC,0.0019954874518796,,3,42,186,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,StaticAware_PCC,0.0023708932672669,,3,42,186,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,TimeAugmented_Discrete_Frechet,2.4227151310342125,,3,42,186,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,ZMAE,1.0077654341478568,,3,42,186,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,KL,0.2119846476580085,,3,42,186,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,StaticAware_SRCC,0.0002887266181087,,4,42,201,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,StaticAware_PCC,-0.0016594037862875,,4,42,201,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,TimeAugmented_Discrete_Frechet,2.474458471434111,,4,42,201,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
